date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,hour,dayofweek,month,is_weekend,is_peak_hour,is_night,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,lag_1,lag_2,lag_6,lag_12,lag_144,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_24,rolling_std_24,rolling_mean_48,rolling_std_48,T_indoor_avg,T_diff_in_out,T_indoor_range,T6_T_out_diff,RH_indoor_avg,RH_diff_in_out,heat_index_proxy,lights_x_hour
2016-01-12 17:00:00,60,0,20.066666666666695,42.83333333333329,19.0,42.4181818181818,19.79,44.7,19.26,42.56,17.6,50.9,6.15666666666667,76.8933333333333,18.1388888888889,37.9055555555556,18.6,45.79,17.1,43.26,6.5,744.2,75.0,7.0,29.0,2.3,36.46548116812482,36.46548116812482,17,1,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,40.0,40.0,30.0,50.0,60.0,40.0,8.983905017028495e-06,40.0,6.324555320340111,91.25,92.13942648531888,110.0,117.74476543453656,18.69444444444445,12.19444444444445,2.9666666666666934,-0.34333333333333016,43.79588383838384,-31.204116161616163,8.187397173120093,0
2016-01-12 17:10:00,60,10,20.0,42.6725,19.0,42.433333333333294,19.79,44.6633333333333,19.2,42.56,17.6,50.9,6.09,77.56,18.1,37.945454545454496,18.6,45.808333333333294,17.1,43.2,6.31666666666667,744.283333333333,76.6666666666667,7.0,30.8333333333333,2.43333333333333,22.62854157015681,22.62854157015681,17,1,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,60.0,40.0,40.0,40.0,60.0,46.666666666666664,11.547005383795938,45.0,8.366600265343179,91.25,92.13942648531888,110.20833333333333,117.64514952038503,18.67375,12.357083333333328,2.8999999999999986,-0.22666666666667012,43.7728693181818,-32.8937973484849,8.174036184303972,170
2016-01-12 17:20:00,210,20,20.0,42.53,18.99,42.4718181818182,19.79,44.59,19.2,42.6266666666667,17.6,50.79,6.09,77.995,18.1,38.045,18.6,45.9,17.1,43.145,6.133333333333329,744.366666666667,78.3333333333333,7.0,32.66666666666669,2.56666666666667,8.756338420789689,8.756338420789689,17,1,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,60.0,60.0,50.0,40.0,50.0,53.333333333333336,11.547005383795865,48.333333333333336,9.831920802503749,81.66666666666667,81.96853408296472,110.20833333333333,117.64514952038503,18.672499999999996,12.539166666666667,2.8999999999999986,-0.04333333333332945,43.76231060606061,-34.57102272727269,8.171517447916665,340
2016-01-12 17:30:00,380,20,20.033333333333296,43.4966666666667,18.9022222222222,42.58,19.823333333333295,44.59,19.2,42.76,17.6,50.73,6.06,78.7,18.0181818181818,38.0572727272727,18.5363636363636,46.0,17.1,43.0,5.95,744.45,80.0,7.0,34.5,2.7,37.33491348102689,37.33491348102689,17,1,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,210.0,60.0,40.0,30.0,50.0,110.0,86.60254037844423,75.0,66.85805860178733,85.0,85.56716151909438,113.54166666666667,118.16846220964754,18.651679292929273,12.701679292929274,2.9333333333332945,0.10999999999999943,43.90174242424242,-36.09825757575758,8.18841220097757,340
2016-01-12 17:40:00,370,40,20.033333333333296,42.963333333333296,18.89,42.56,19.89,44.59,19.36,43.5666666666667,17.5333333333333,50.79,5.93333333333333,81.0333333333333,18.0,38.3441666666667,18.5,46.0,17.1,43.0,5.76666666666667,744.533333333333,81.6666666666667,7.0,36.33333333333329,2.8333333333333295,5.249382019974291,5.249382019974291,17,1,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,380.0,210.0,40.0,30.0,60.0,216.66666666666666,160.1041327803045,131.66666666666666,137.75582262346182,95.0,104.25720702853741,120.83333333333333,123.57844150851616,18.663333333333323,12.896666666666654,2.9333333333332945,0.16666666666665986,43.97677083333333,-37.68989583333337,8.207531329861107,680
2016-01-12 17:50:00,230,30,20.0,43.16,18.89,42.7966666666667,19.89,44.59,19.6933333333333,43.9,17.6,50.79,5.52666666666667,82.8933333333333,18.066666666666695,38.9,18.5,46.1266666666667,17.0666666666667,42.93,5.5833333333333295,744.616666666667,83.3333333333333,7.0,38.16666666666669,2.9666666666666694,43.22724745143205,43.22724745143205,17,1,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,370.0,380.0,40.0,30.0,50.0,320.0,95.39392014169465,186.66666666666666,158.1981879373675,100.41666666666667,114.94721535922733,127.70833333333333,128.08307781551403,18.713333333333335,13.130000000000006,2.9333333333333016,-0.05666666666665954,44.14916666666668,-39.18416666666662,8.261780722222225,510
2016-01-12 18:00:00,80,40,20.0,43.9,18.8566666666667,43.4,19.79,44.4666666666667,20.163333333333295,43.83333333333329,17.6,50.745,5.26,83.4333333333333,18.1333333333333,39.3266666666667,18.5,46.33333333333329,17.0,42.863333333333294,5.4,744.7,85.0,7.0,40.0,3.1,30.73224858380854,30.73224858380854,18,1,1,0,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,230.0,370.0,60.0,30.0,60.0,326.6666666666667,83.86497083606092,218.33333333333334,141.0555446151148,107.91666666666667,117.36154346317186,131.875,128.0899991113296,18.75541666666666,13.355416666666661,3.163333333333295,-0.14000000000000057,44.35854166666666,-40.64145833333334,8.319629316840274,720
2016-01-12 18:10:00,90,30,20.0,43.7,18.8566666666667,43.4666666666667,19.79,44.4666666666667,20.29,43.6266666666667,17.5,50.8266666666667,5.06,84.2566666666667,18.2,39.3266666666667,18.6,46.6266666666667,17.0333333333333,42.8266666666667,5.3,744.75,86.0,6.8333333333333295,40.0,3.15,27.85797694232315,27.85797694232315,18,1,1,0,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,80.0,230.0,60.0,40.0,60.0,226.66666666666666,145.02873278538075,221.66666666666666,136.73575489485785,108.75,117.07717632993764,128.125,126.88839542533829,18.78375,13.48375,3.2566666666666997,-0.2400000000000002,44.35833333333336,-41.64166666666664,8.332158437500006,540
2016-01-12 18:20:00,70,20,20.0,43.76,18.9266666666667,43.363333333333294,19.79,44.4,20.2,43.49,17.5,50.9,4.93333333333333,85.06333333333329,18.245,39.45,18.6666666666667,46.83333333333329,17.0333333333333,42.8266666666667,5.2,744.7999999999998,87.0,6.66666666666667,40.0,3.2,16.4388659526594,16.4388659526594,18,1,1,0,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,90.0,80.0,210.0,50.0,60.0,133.33333333333334,83.86497083606118,226.66666666666666,130.0256384974388,110.0,116.69357867658286,119.58333333333333,114.5195018852978,18.79520833333334,13.59520833333334,3.1666666666667,-0.26666666666667016,44.377916666666664,-42.622083333333336,8.340921891493057,360
2016-01-12 18:30:00,40,10,20.033333333333296,44.0,19.0,43.29,19.79,44.4,20.2,43.09666666666671,17.5,51.0,4.93333333333333,86.4566666666667,18.2,39.26,18.7,47.0266666666667,17.0,42.7,5.1,744.85,88.0,6.5,40.0,3.25,22.656572272535414,22.656572272535414,18,1,1,0,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,70.0,90.0,380.0,40.0,70.0,80.0,10.000000000003508,203.33333333333334,145.28133626404545,110.41666666666667,116.52501752904797,111.66666666666667,103.82746189699341,18.80291666666666,13.702916666666662,3.1999999999999993,-0.16666666666666963,44.34666666666667,-43.65333333333333,8.338466777777775,180
